,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,521.033961507,3253.75495262,-130847.112761,-5055.98839033,23.7034096521,23.2722107505,23.2326156398,23.8269976694,24.8184053852,23.0,14.1746035579,0.0,14.6989340487,82.2222222222,0.0
1,24.95,0.0,521.033961507,4553.46388914,-149460.351681,-8578.43485002,23.2011044806,23.0067697648,23.0062164281,23.5200335958,24.7369197511,23.0,15.7147110996,0.0,13.9210995784,82.2222222222,0.0
2,24.925,0.0,521.033961507,5217.04993732,-34291.3959447,-3237.1680335,23.0116643951,23.0102289041,23.0100660438,23.1632257409,24.6526066989,23.01,3.31838677605,0.0,12.9268646943,82.2222222222,0.0
3,24.9,0.0,521.033961507,5211.34395501,-49499.3671977,-29.6503176714,23.0099291841,23.0099146858,23.0099137861,23.0121029431,24.5821521819,23.01,6.28201527018,0.0,15.3196093377,82.2222222222,0.0
4,24.875,0.0,521.033961507,5147.87569276,-64856.5313441,166.255344427,23.019659543,23.0197369688,23.019684353,23.0199006257,24.531690972,23.02,8.38430065173,0.0,15.4697216207,82.2222222222,0.0
5,24.85,0.0,521.033961507,5130.37138055,-59233.0685307,4.29841017704,23.0199111234,23.0199597126,23.0199653794,23.0199904471,24.4700904335,23.02,8.08835938271,0.0,15.8722016577,82.2222222222,0.0
6,24.825,0.0,521.033961507,5091.32231795,-53293.3398825,167.349334878,23.0297065317,23.0297243557,23.0296668056,23.0298324503,24.4230235274,23.03,6.76690652253,0.0,15.3427721313,82.2222222222,0.0
7,24.8,0.0,521.033961507,5064.46941184,-58456.6989089,3.54681716797,23.029914144,23.0299559534,23.0299594678,23.0299896968,24.3814482152,23.03,7.77542497044,0.0,15.6917325293,82.2222222222,0.0
8,24.775,0.0,521.033961507,5040.99190742,-55819.3026005,0.0116555266968,23.0299148263,23.0299527222,23.0299559918,23.0299862005,24.3483388683,23.03,7.25537478475,0.0,15.5204088377,82.2222222222,0.0
9,24.75,0.0,521.033961507,4991.36132587,-52738.572023,167.575442011,23.0397248454,23.0397378367,23.0396825101,23.0398422054,24.3251186357,23.04,6.85680706319,0.0,15.5321346979,82.2222222222,0.0
10,24.725,0.0,521.033961507,4963.37446031,-57423.5767546,3.33262524717,23.0399199473,23.0399552465,23.0399574618,23.0399904007,24.3021429382,23.04,7.60053744753,0.0,15.6651722158,82.2222222222,0.0
11,24.7,0.0,521.033961507,4916.1883679,-51448.370381,167.60699675,23.0497328354,23.0497418104,23.0496852212,23.0498460865,24.2872699952,23.05,6.62276341472,0.0,15.4667491703,82.2222222222,0.0
12,24.675,0.0,521.033961507,4889.28801119,-56642.7594693,3.30373070667,23.0499262658,23.0499580611,23.0499601622,23.0499930526,24.2713900729,23.05,7.50244976826,0.0,15.6801325119,82.2222222222,0.0
13,24.65,0.0,521.033961507,4845.48872319,-50711.3134086,167.604702351,23.0597400368,23.0597460639,23.0596892082,23.0598493145,24.2624282959,23.06,6.51892225487,0.0,15.4661194991,82.2222222222,0.0
14,24.625,0.0,521.033961507,4822.23996676,-55943.699893,3.25548460361,23.0599306622,23.0599592716,23.059960985,23.0599944466,24.2516404101,23.06,7.40040550912,0.0,15.6805289516,82.2222222222,0.0
15,24.6,0.0,521.033961507,4779.71234119,-50023.2263506,167.624544199,23.0697466091,23.0697500407,23.0696929337,23.0698522014,24.2468526016,23.07,6.42253126927,0.0,15.4665502033,82.2222222222,0.0
16,24.575,0.0,521.033961507,4757.23868348,-55265.627535,3.21066215006,23.0699346293,23.0699604003,23.0699617703,23.069995655,24.2396657941,23.07,7.30073580372,0.0,15.6802767313,82.2222222222,0.0
17,24.55,0.0,521.033961507,4740.49819132,-52678.6752139,0.00129922472511,23.0699347054,23.0699580805,23.0699594573,23.069992424,24.2341593918,23.07,6.81446181104,0.0,15.523450016,82.2222222222,0.0
18,24.525,0.0,521.033961507,4697.69388176,-49670.6764068,167.672576239,23.079754818,23.0797554736,23.0796989899,23.0798553688,24.2332663909,23.08,6.42504309871,0.0,15.5328292849,82.2222222222,0.0
19,24.5,0.0,521.033961507,4677.07018479,-54435.4515953,3.13567506226,23.0799384721,23.0799604869,23.0799611292,23.0799961326,24.2293792409,23.08,7.1672136373,0.0,15.6654350695,82.2222222222,0.0
20,24.475,0.0,521.033961507,4637.69250349,-48530.025825,167.688292177,23.0897605138,23.0901114121,23.0897011164,23.08985814,24.2301596307,23.09,6.21768760918,0.0,15.4700850659,82.2222222222,0.0
21,24.45,0.0,521.033961507,4618.13943404,-53807.6795845,3.11299692799,23.0899428584,23.0899709099,23.0899635511,23.0899979441,24.2278239817,23.09,7.08796800142,0.0,15.6788624259,82.2222222222,0.0
22,24.425,0.0,521.033961507,4579.57824446,-47920.1296843,167.685922691,23.099765768,23.1000907281,23.0997045599,23.0998604301,24.2299160095,23.1,6.13129201979,0.0,15.469688757,82.2222222222,0.0
23,24.4,0.0,521.033961507,4560.45697976,-53203.267103,3.0740240019,23.0999458482,23.0999713922,23.099964456,23.0999987618,24.2287865006,23.1,6.99818259466,0.0,15.6779652853,82.2222222222,0.0
24,24.375,0.0,521.033961507,4546.86413998,-50642.88381,-0.007532462969,23.0999454069,23.0999620582,23.0999623751,23.0999954368,24.2284504357,23.1,6.52644569625,0.0,15.5244192808,82.2222222222,0.0
25,24.35,0.0,521.033961507,4508.32406985,-47678.905814,167.732253222,23.1097723741,23.1095363142,23.1097103099,23.1098628449,24.2317182371,23.11,6.1452937558,0.0,15.5351971472,82.2222222222,0.0
26,24.325,0.0,521.033961507,4491.02923726,-52481.2314029,3.0076595961,23.1099485907,23.1099591158,23.1099641437,23.1099988369,24.2315284287,23.11,6.88047613236,0.0,15.6632514912,82.2222222222,0.0
27,24.3,0.0,521.033961507,4454.8082071,-46602.0939631,167.742751482,23.1197771767,23.1200158701,23.1197124024,23.1198652351,24.2352313802,23.12,5.95042626457,0.0,15.4736967803,82.2222222222,0.0
