,tout,i,t
0,24.975,521.0339615,23.65228552
1,24.95,521.0339615,23.08900773
2,24.925,521.0339615,23.01121128
3,24.9,521.0339615,23.00999672
4,24.875,521.0339615,23.0196773
5,24.85,521.0339615,23.0199346
6,24.825,521.0339615,23.02969407
7,24.8,521.0339615,23.02997208
8,24.775,521.0339615,23.02997162
9,24.75,521.0339615,23.0397
10,24.725,521.0339615,23.0399736
11,24.7,521.0339615,23.0497037
12,24.675,521.0339615,23.05000318
13,24.65,521.0339615,23.05970809
14,24.625,521.0339615,23.05999657
15,24.6,521.0339615,23.06973439
16,24.575,521.0339615,23.06999175
17,24.55,521.0339615,23.06999703
18,24.525,521.0339615,23.07972738
19,24.5,521.0339615,23.07998588
20,24.475,521.0339615,23.08973108
21,24.45,521.0339615,23.08998399
22,24.425,521.0339615,23.09973215
23,24.4,521.0339615,23.09998286
24,24.375,521.0339615,23.09998991
25,24.35,521.0339615,23.10973024
26,24.325,521.0339615,23.10998197
27,24.3,521.0339615,23.11973588
28,24.275,521.0339615,23.11998195
29,24.25,521.0339615,23.12973816
30,24.225,521.0339615,23.12998204
31,24.2,521.0339615,23.12998917
32,24.175,521.0339615,23.13973727
33,24.15,521.0339615,23.13998224
34,24.125,521.0339615,23.14974319
35,24.1,521.0339615,23.14998266
36,24.075,521.0339615,23.15974562
37,24.05,521.0339615,23.15998302
38,24.025,521.0339615,23.1599899
39,24,521.0339615,23.16974488
40,23.975,521.0339615,23.16998349
41,23.95,521.0339615,23.17975073
42,23.925,521.0339615,23.17998399
43,23.9,521.0339615,23.1897531
44,23.875,521.0339615,23.18998442
45,23.85,521.0339615,23.18999098
46,23.825,521.0339615,23.19975232
47,23.8,521.0339615,23.19998494
48,23.775,521.0339615,23.209758
49,23.75,521.0339615,23.20998546
50,23.725,521.0339615,23.21976025
51,23.7,521.0339615,23.2199859
52,23.675,521.0339615,23.21999213
53,23.65,521.0339615,23.22975942
54,23.625,521.0339615,23.22998642
55,23.6,521.0339615,23.23976492
56,23.575,521.0339615,23.23998693
57,23.55,521.0339615,23.24976706
58,23.525,521.0339615,23.24998736
59,23.5,521.0339615,23.24999329
60,23.50166667,521.0339615,23.25976616
61,23.50333333,521.0339615,23.25998787
62,23.505,521.0339615,23.26977146
63,23.50666667,521.0339615,23.26998831
64,23.50833333,521.0339615,23.27977346
65,23.51,521.0339615,23.27998862
66,23.51166667,521.0339615,23.2799942
67,23.51333333,521.0339615,23.28977236
68,23.515,521.0339615,23.28998889
69,23.51666667,521.0339615,23.29977737
70,23.51833333,521.0339615,23.29998916
71,23.52,521.0339615,23.29999452
72,23.52166667,521.0339615,23.30977617
73,23.52333333,521.0339615,23.30998928
74,23.525,521.0339615,23.31978102
75,23.52666667,521.0339615,23.31998947
76,23.52833333,521.0339615,23.32978269
77,23.53,521.0339615,23.32998955
78,23.53166667,521.0339615,23.32999463
79,23.53333333,521.0339615,23.33978132
80,23.535,521.0339615,23.33998952
81,23.53666667,521.0339615,23.34978597
82,23.53833333,521.0339615,23.34998961
83,23.54,521.0339615,23.34999453
84,23.54166667,521.0339615,23.35978453
85,23.54333333,521.0339615,23.3599895
86,23.545,521.0339615,23.36978908
87,23.54666667,521.0339615,23.36998954
88,23.54833333,521.0339615,23.36999431
89,23.55,521.0339615,23.37978757
90,23.55166667,521.0339615,23.37998937
91,23.55333333,521.0339615,23.38979203
92,23.555,521.0339615,23.38998937
93,23.55666667,521.0339615,23.38999399
94,23.55833333,521.0339615,23.39979044
95,23.56,521.0339615,23.39998914
96,23.56166667,521.0339615,23.40979482
97,23.56333333,521.0339615,23.4099891
98,23.565,521.0339615,23.4099936
99,23.56666667,521.0339615,23.41979319
100,23.56833333,521.0339615,23.41998883
101,23.57,521.0339615,23.4297975
102,23.57166667,521.0339615,23.42998877
103,23.57333333,521.0339615,23.42999315
104,23.575,521.0339615,23.43979582
105,23.57666667,521.0339615,23.43998846
106,23.57833333,521.0339615,23.44980007
107,23.58,521.0339615,23.44998838
108,23.58166667,521.0339615,23.44999265
109,23.58333333,521.0339615,23.45979835
110,23.585,521.0339615,23.45998804
111,23.58666667,521.0339615,23.46980255
112,23.58833333,521.0339615,23.46998794
113,23.59,521.0339615,23.46999211
114,23.59166667,521.0339615,23.4798008
115,23.59333333,521.0339615,23.47998758
116,23.595,521.0339615,23.47999176
117,23.59666667,521.0339615,23.48980198
118,23.59833333,521.0339615,23.48998727
119,23.6,521.0339615,23.4998061
120,23.60333333,521.0339615,23.49998714
121,23.60666667,521.0339615,23.49999117
122,23.61,521.0339615,23.50980417
123,23.61333333,521.0339615,23.50998676
124,23.61666667,521.0339615,23.50999082
125,23.62,521.0339615,23.51980517
126,23.62333333,521.0339615,23.51998646
127,23.62666667,521.0339615,23.52980916
128,23.63,521.0339615,23.52998636
129,23.63333333,521.0339615,23.5299903
130,23.63666667,521.0339615,23.53980726
131,23.64,521.0339615,23.53998603
132,23.64333333,521.0339615,23.53999001
133,23.64666667,521.0339615,23.54980827
134,23.65,521.0339615,23.54998578
135,23.65333333,521.0339615,23.55981225
136,23.65666667,521.0339615,23.55998571
137,23.66,521.0339615,23.55998956
138,23.66333333,521.0339615,23.56981036
139,23.66666667,521.0339615,23.56998543
140,23.67,521.0339615,23.56998931
141,23.67333333,521.0339615,23.57981137
142,23.67666667,521.0339615,23.57998521
143,23.68,521.0339615,23.57998906
144,23.68333333,521.0339615,23.58981238
145,23.68666667,521.0339615,23.589985
146,23.69,521.0339615,23.58998882
147,23.69333333,521.0339615,23.59981338
148,23.69666667,521.0339615,23.5999848
149,23.7,521.0339615,23.6098173
150,23.70333333,521.0339615,23.60998476
151,23.70666667,521.0339615,23.60998847
152,23.71,521.0339615,23.61981544
153,23.71333333,521.0339615,23.61998452
154,23.71666667,521.0339615,23.61998825
155,23.72,521.0339615,23.62981641
156,23.72333333,521.0339615,23.62998434
157,23.72666667,521.0339615,23.62998804
158,23.73,521.0339615,23.63981739
159,23.73333333,521.0339615,23.63998416
160,23.73666667,521.0339615,23.63998784
161,23.74,521.0339615,23.64981836
162,23.74333333,521.0339615,23.64998399
163,23.74666667,521.0339615,23.64998764
164,23.75,521.0339615,23.65981933
165,23.75333333,521.0339615,23.65998383
166,23.75666667,521.0339615,23.65998745
167,23.76,521.0339615,23.66982029
168,23.76333333,521.0339615,23.66998366
169,23.76666667,521.0339615,23.66998726
170,23.77,521.0339615,23.67982125
171,23.77333333,521.0339615,23.6799835
172,23.77666667,521.0339615,23.67998707
173,23.78,521.0339615,23.67998691
174,23.78333333,521.0339615,23.68982228
175,23.78666667,521.0339615,23.68998326
176,23.79,521.0339615,23.68998681
177,23.79333333,521.0339615,23.69982307
178,23.79666667,521.0339615,23.69998311
179,23.8,521.0339615,23.69998663
180,23.80166667,521.0339615,23.70982407
181,23.80333333,521.0339615,23.70998297
182,23.805,521.0339615,23.70998647
183,23.80666667,521.0339615,23.71982518
184,23.80833333,521.0339615,23.71998284
185,23.81,521.0339615,23.71998631
186,23.81166667,521.0339615,23.7298263
187,23.81333333,521.0339615,23.72998273
188,23.815,521.0339615,23.72998617
189,23.81666667,521.0339615,23.729986
190,23.81833333,521.0339615,23.73982755
191,23.82,521.0339615,23.73998255
192,23.82166667,521.0339615,23.73998596
193,23.82333333,521.0339615,23.74982853
194,23.825,521.0339615,23.74998245
195,23.82666667,521.0339615,23.74998583
196,23.82833333,521.0339615,23.74998567
197,23.83,521.0339615,23.75982979
198,23.83166667,521.0339615,23.75998229
199,23.83333333,521.0339615,23.75998565
200,23.835,521.0339615,23.76983077
201,23.83666667,521.0339615,23.7699822
202,23.83833333,521.0339615,23.76998553
203,23.84,521.0339615,23.76998536
204,23.84166667,521.0339615,23.77983203
205,23.84333333,521.0339615,23.77998206
206,23.845,521.0339615,23.77998536
207,23.84666667,521.0339615,23.78983302
208,23.84833333,521.0339615,23.78998198
209,23.85,521.0339615,23.78998526
210,23.85166667,521.0339615,23.78998508
