,tout,i,t
0,24.975,335.7740983,23.19825077
1,24.95,335.7740983,23.00616188
2,24.925,335.7740983,23.00899514
3,24.9,335.7740983,23.01000945
4,24.875,335.7740983,23.0194913
5,24.85,335.7740983,23.01999313
6,24.825,335.7740983,23.02946102
7,24.8,335.7740983,23.03003992
8,24.775,335.7740983,23.03004395
9,24.75,335.7740983,23.03943971
10,24.725,335.7740983,23.04001081
11,24.7,335.7740983,23.04942324
12,24.675,335.7740983,23.05005726
13,24.65,335.7740983,23.0594164
14,24.625,335.7740983,23.0600283
15,24.6,335.7740983,23.0694584
16,24.575,335.7740983,23.07000666
17,24.55,335.7740983,23.0700302
18,24.525,335.7740983,23.079427
19,24.5,335.7740983,23.07997955
20,24.475,335.7740983,23.08942137
21,24.45,335.7740983,23.08996997
22,24.425,335.7740983,23.09941689
23,24.4,335.7740983,23.09996401
24,24.375,335.7740983,23.09999563
25,24.35,335.7740983,23.10941012
26,24.325,335.7740983,23.10995891
27,24.3,335.7740983,23.11941435
28,24.275,335.7740983,23.11995755
29,24.25,335.7740983,23.12941602
30,24.225,335.7740983,23.12995685
31,24.2,335.7740983,23.12998941
32,24.175,335.7740983,23.13941454
33,24.15,335.7740983,23.13995639
34,24.125,335.7740983,23.14942072
35,24.1,335.7740983,23.1499568
36,24.075,335.7740983,23.15942359
37,24.05,335.7740983,23.15995723
38,24.025,335.7740983,23.15998927
39,24,335.7740983,23.16942311
40,23.975,335.7740983,23.16995775
41,23.95,335.7740983,23.17942958
42,23.925,335.7740983,23.17995852
43,23.9,335.7740983,23.18943258
44,23.875,335.7740983,23.18995916
45,23.85,335.7740983,23.18999041
46,23.825,335.7740983,23.19943222
47,23.8,335.7740983,23.19995987
48,23.775,335.7740983,23.20943859
49,23.75,335.7740983,23.20996068
50,23.725,335.7740983,23.21944147
51,23.7,335.7740983,23.21996135
52,23.675,335.7740983,23.21999177
53,23.65,335.7740983,23.22944108
54,23.625,335.7740983,23.22996205
55,23.6,335.7740983,23.23944727
56,23.575,335.7740983,23.23996285
57,23.55,335.7740983,23.24945004
58,23.525,335.7740983,23.24996349
59,23.5,335.7740983,23.24999313
60,23.50166667,335.7740983,23.25944955
61,23.50333333,335.7740983,23.25996414
62,23.505,335.7740983,23.26945548
63,23.50666667,335.7740983,23.26996479
64,23.50833333,335.7740983,23.279458
65,23.51,335.7740983,23.27996519
66,23.51166667,335.7740983,23.27999394
67,23.51333333,335.7740983,23.28945709
68,23.515,335.7740983,23.28996536
69,23.51666667,335.7740983,23.29946259
70,23.51833333,335.7740983,23.2999657
