,Unnamed: 0,p0,m0,p1,m1,p2,m2,p3,m3
7000,7000,14522.0242226,10.8389609513,74128.4073339,69.2904925777,8441.66287995,7.75690093752,4314.02915823,3.02348388673
7001,7001,12981.3077442,10.1575168673,62957.6872143,62.9058540315,7294.1842201,7.11424393344,3923.94265643,2.75009207379
7002,7002,15389.5458501,11.2082479385,80739.4898004,72.8606393627,9101.43839758,8.1082016566,4505.22399005,3.15748263176
7003,7003,13897.8911618,10.5670681601,70094.9607718,67.0400004672,8020.10976903,7.52578846159,4215.38643256,2.9543502113
7004,7004,12891.2510509,10.1165783705,62275.9567929,62.4999032746,7215.05527257,7.06826257169,3884.66205886,2.72256229839
7005,7005,15206.3065602,11.1310465707,79579.5700827,72.2442634129,8972.95729953,8.04073433416,4468.16705075,3.13151130548
7006,7006,13745.0508595,10.4996472686,69111.4642874,66.4822674729,7909.5469461,7.46425235733,4177.9917341,2.92814216678
7007,7007,14185.7432447,10.6931389105,71961.2123594,68.0885087736,8198.05346362,7.62401122495,4236.99053264,2.96949142758
7008,7008,12673.4326168,10.0170195894,61025.7969309,61.7500948301,7074.48747191,6.98600084219,3847.94290675,2.69682770999
7009,7009,15041.0898214,11.0610773894,78460.13301,71.645471255,8846.70104247,7.97400104926,4428.42197817,3.10365600313
7010,7010,13579.7482022,10.4263448749,68058.6649786,65.8811609054,7792.37795958,7.39860476224,4139.01459903,2.90082507282
7011,7011,12585.169142,9.97645520854,60365.9719442,61.3514884668,6994.10529937,6.93862064138,3809.24894148,2.66970907536
7012,7012,14861.7941644,10.9847516687,77329.0218015,71.0364305241,8723.37828116,7.90839387004,4391.7977393,3.0779879346
7013,7013,13428.4215599,10.3588840356,67087.6400712,65.3229293566,7680.4390216,7.3354606446,4102.07425938,2.87493546531
7014,7014,13857.7092797,10.5493758653,69856.803847,66.9052764752,7961.08078916,7.49298365641,4161.11643928,2.9163151299
7015,7015,12372.3460003,9.87810888315,59146.9837047,60.6097495326,6860.40487007,6.85925143706,3773.07537348,2.64435685915
7016,7016,14699.9891223,10.9155134846,76238.7403866,70.445483081,8598.04894304,7.84128031331,4352.75725915,3.0506264453
7017,7017,13268.5621837,10.2872431388,66076.1514971,64.7374556147,7567.73855384,7.27145631737,4063.90295958,2.84818314037
7018,7018,12286.7362735,9.83833110528,58513.8580904,60.2217109388,6782.96915782,6.81295560682,3735.19993754,2.61781189015
7019,7019,14527.2414819,10.8412112036,75156.1804837,69.8548601238,8479.67147316,7.77747455473,4316.88755513,3.02548719191
7020,7020,13114.8555163,10.2179886978,65086.2412184,64.1604519898,7453.8583773,7.20633338527,4027.69427846,2.82280631515
7021,7021,12095.9567715,9.74922988806,57276.6711483,59.4577980658,6649.42110578,6.73253407894,3699.62596091,2.59287989707
7022,7022,14313.2792088,10.7486249181,73681.5871517,69.0440129878,8317.09770155,7.68917429911,4280.89591186,3.0002624775
7023,7023,12918.2633556,10.128871405,63761.6171388,63.3819700643,7308.28408035,7.12241304037,3992.03661575,2.79781567075
7024,7024,13324.7467717,10.3124667027,66357.695788,64.9008332122,7570.95863862,7.27329113564,4051.32004216,2.83936441275
7025,7025,11876.3685944,9.64587642621,55968.0643706,58.6414295435,6502.32673785,6.64308521372,3664.80952056,2.56847882268
7026,7026,14132.0955178,10.669731336,72425.4801544,68.3473926676,8176.36204355,7.61209079639,4243.14285904,2.97380328061
7027,7027,12742.1886985,10.0485296388,62605.1929433,62.6962089126,7177.44987036,7.04632862803,3955.09886235,2.7719278758
7028,7028,11774.5442612,9.59765495684,55208.910285,58.1637826685,6414.75687423,6.58938844068,3627.93632154,2.54263627063
7029,7029,13947.0418694,10.5886779593,71226.6053221,67.6773011566,8043.63533734,7.5388315287,4208.27527877,2.94936636485
7030,7030,12583.0776582,9.97549242958,61563.632163,62.0735343058,7060.69192069,6.97788699826,3919.96652347,2.74730540419
7031,7031,11620.7159466,9.52444301115,54236.3386644,57.5473914158,6305.09802558,6.52166612615,3593.44395973,2.51846232642
7032,7032,13774.1518495,10.5125104082,70078.837282,67.0308861704,7916.39182497,7.46807349699,4173.23008269,2.9248049672
7033,7033,12424.4889943,9.90227518551,60534.504905,61.4534915439,6945.28826107,6.9097231553,3885.19506093,2.72293585247
7034,7034,11468.8663658,9.45173723355,53276.8259742,56.9342407245,6196.73383176,6.45420552134,3559.22190625,2.49447782761
7035,7035,13603.6336058,10.4369616392,68949.8930196,66.3902924866,7791.10518353,7.3978891583,4138.54599062,2.90049664899
7036,7036,12268.0091446,9.82961289004,59522.6629329,60.8390929963,6831.73622266,6.84213987263,3850.74619045,2.69879238913
7037,7037,11318.9341194,9.37951646279,52332.9315999,56.326060219,6090.05966964,6.38726132915,3525.2478651,2.47066714802
7038,7038,13435.1325759,10.3618830749,67837.6100738,65.75440368,7667.62195356,7.32820358561,4104.0534957,2.87632261151
7039,7039,12113.5854728,9.75748990674,58527.0082168,60.22979026,6719.94421873,6.77509467082,3816.53782055,2.67481748043
7040,7040,11171.1765803,9.30791393366,51405.8143493,55.7237233062,5985.20026947,6.32092459437,3491.57434056,2.44706708527
7041,7041,13269.0747207,10.2874734568,66744.943832,65.1250279009,7546.21529069,7.25918299954,4069.9162635,2.85239755961
7042,7042,11961.1653348,9.68589018997,57547.8215095,59.62587062,6609.91957984,6.70860369906,3782.64272075,2.65106212683
7043,7043,11025.215753,9.23675537678,50520.6008281,55.1438962119,5881.93462652,6.25506786564,3458.15689581,2.42364649583
7044,7044,13104.9014181,10.2134910661,65677.7641943,64.5057249282,7426.50433006,7.19062254465,4035.98190599,2.82861469228
7045,7045,11810.7041631,9.61480110839,56577.2211898,59.0225360228,6501.57528435,6.64262586039,3748.9892414,2.62747611274
7046,7046,10881.3700879,9.16620486567,49722.8854368,54.6173361622,5780.43134207,6.18981096292,3425.02826192,2.40042831926
7047,7047,12943.152872,10.14018803,64608.3123277,63.8804243843,7308.84664063,7.12273882262,4002.37817664,2.80506354543
7048,7048,11662.2744453,9.54426548676,55630.7082486,58.4295434243,6395.00946071,6.57723277645,3715.61945856,2.60408892711
7049,7049,10739.3672018,9.09613800197,48936.9251757,54.0946931307,5680.5489098,6.12507574107,3392.12386615,2.37736729979
7050,7050,12783.3119096,10.067338901,63546.9493543,63.2551088767,7192.89769929,7.05534522971,3968.95488873,2.78163886081
7051,7051,11515.7864872,9.47424936395,54703.6920024,57.844221264,6290.10498033,6.51236459526,3682.48277922,2.58086511189
7052,7052,10599.424083,9.02667097966,48163.8047619,53.5767792372,5582.37882203,6.06093427679,3359.5147117,2.35451319996
7053,7053,12625.8208298,9.99515406901,62500.5049701,62.633841003,7078.93471064,6.98861492331,3935.87751615,2.75845661069
7054,7054,11371.2553108,9.40476843233,53794.7854673,57.2658580207,6186.91321643,6.44806493916,3649.64207449,2.55784873023
7055,7055,10461.2559113,8.95767140888,47402.3725547,53.0629154118,5485.77003187,5.99730051697,3327.13536421,2.33182016015
7056,7056,12470.1511697,9.92339993934,61466.9729568,62.0155026597,6966.60497098,6.92235319967,3902.97940214,2.73539999378
7057,7057,11228.5584632,9.33577204395,52968.5764686,56.7361788027,6085.29220861,6.38425684647,3617.02055019,2.534985961
7058,7058,10325.0068491,8.88921981683,46648.03204,52.5500509206,5390.75876303,5.93421037372,3295.02314385,2.30931433619
7059,7059,12316.6852344,9.85226094306,60453.7239694,61.4046160081,6856.13730204,6.85670633546,3870.38497108,2.71255621283
7060,7060,11087.7197034,9.2672796452,52179.9492507,56.2270119943,5985.29747711,6.32098633858,3584.65996238,2.5123060689
7061,7061,10190.4775514,8.82122449861,45903.5750598,52.04012302,5304.28387687,5.87633907357,3263.12433637,2.28695808247
7062,7062,12165.0293082,9.78156288431,59505.692874,60.8287476314,6749.06117104,6.79260640322,3837.97316781,2.68984042642
7063,7063,10948.7323862,9.19929618406,51399.086265,55.7193338419,5885.5492452,6.25738205912,3552.52832579,2.48978663709
7064,7064,10059.2483346,8.75449911617,45172.0878061,51.5353311499,5222.09578979,5.82092984849,3231.49665514,2.26479184736
7065,7065,12016.9064182,9.71212271537,58582.3688844,60.2637941587,6639.64267667,6.7266163584,3805.86053231,2.66733431151
7066,7066,9622.70546521,8.52960363839,42750.7915958,49.8367712041,4964.03502725,5.64426948359,3139.34558776,2.20020784546
7067,7067,11927.19155,9.66987428582,57884.3229317,59.8339423417,6561.37807694,6.67910601047,3774.71623286,2.64550685413
7068,7068,10680.4393652,9.06693739934,49915.6163863,54.7449114659,5704.61134439,6.14071885944,3489.68361069,2.44574196875
7069,7069,9808.76248643,8.62601666187,43796.5014603,50.5756770332,5067.77017338,5.7157834067,3169.84188291,2.22158114953
7070,7070,11733.4707424,9.57814969046,56730.6251541,59.1182102982,6436.4081885,6.60269617491,3743.16133088,2.62339162631
7071,7071,10553.6385717,9.00385215745,49195.0169702,54.2667435232,5612.74368201,6.08082923013,3458.53897714,2.42391427723
7072,7072,9681.1911793,8.56000198517,43103.4084671,50.0868596217,4989.54181056,5.66191733003,3138.84752398,2.19985877786
7073,7073,11590.7268053,9.51011873516,55901.4463073,58.5996351146,6336.41434117,6.54106147323,3711.72443197,2.60135910083
7074,7074,10421.8267313,8.93790442781,48459.2206566,53.7751301772,5528.93691402,6.02579710595,3427.28367551,2.40200902406
7075,7075,9555.30774751,8.49446770355,42418.0595961,49.599907372,4911.4009725,5.60771919055,3108.09465481,2.17830565408
7076,7076,11448.1807437,9.44179896684,55090.4621818,58.0889836087,6234.45016903,6.47774681286,3680.49638437,2.57947294864
7077,7077,9147.04143781,8.27914568482,40140.859222,47.9551238999,4667.78729496,5.43613048556,3017.34117367,2.11470114937
7078,7078,11358.061763,9.39840580004,54503.5565371,57.717253661,6161.14130813,6.43192891762,3649.54910968,2.55778357592
7079,7079,10163.2919714,8.80743413544,47026.5732419,52.8078919133,5369.47008707,5.92000359596,3366.41554545,2.35934964377
7080,7080,8999.92425431,8.20047507731,38809.7525799,46.9736140347,4522.74294243,5.33199284629,2922.42848673,2.04818166861
7081,7081,10806.0469339,9.12909153221,50726.4447742,55.2791441507,5742.65594347,6.16538960478,3483.99058283,2.44175201473
7082,7082,9698.85912831,8.56916841178,43813.089781,50.5873321547,5032.5368708,5.69157071021,3198.94650547,2.24197910099
7083,7083,8893.11469907,8.14298731004,38140.9857792,46.4746014575,4441.05358321,5.27266025801,2879.71089632,2.01824307952
7084,7084,10671.3017075,9.06240279739,50010.7366074,54.8077907137,5658.79099754,6.11090434826,3450.63957863,2.4183779901
7085,7085,8530.28962503,7.94528886016,36222.2693835,45.0199422992,4227.67711555,5.11524829785,2786.7916326,1.95312068783
7086,7086,10585.5593774,9.01976579268,49435.5073933,54.4266843272,5595.50517543,6.06954075754,3418.03773053,2.39552901092
7087,7087,9459.19754143,8.44416561328,42495.2833155,49.6549576036,4885.11252504,5.58939589666,3133.36112217,2.19601363753
7088,7088,8689.75992652,8.03264999332,37081.0746273,45.6753454939,4310.73824439,5.17695221327,2816.26158424,1.97377467988
7089,7089,10418.8460546,8.93640873592,48595.1396504,53.8662019272,5501.05187785,6.00740066153,3385.69821803,2.37286388944
7090,7090,9353.68100463,8.3886690171,41879.961359,49.2150176126,4815.19705031,5.54044043003,3101.48638123,2.17367425082
7091,7091,8589.5518088,7.97784109191,36561.4554685,45.2796458544,4250.7582575,5.1324506058,2784.21197342,1.95131273576
7092,7092,10292.6666328,8.8729113506,47904.4669313,53.4021869152,5421.63341728,5.95476812951,3354.20564277,2.35079234324
7093,7093,8241.19426574,7.7849735742,34731.029229,43.864540017,4117.8571598,5.03279683849,2693.07644088,1.88744047063
7094,7094,10212.5204756,8.83239377016,47401.9854846,53.0626532228,5357.34980709,5.91190358745,3323.45971518,2.32924408447
7095,7095,9148.74653847,8.28005405563,40696.2221132,48.3601592359,4679.94936083,5.4447938649,3039.77770717,2.13042577594
7096,7096,8397.03397601,7.87170958073,35583.9420413,44.528121307,4138.5240469,5.04839039645,2723.85361563,1.90901062895
7097,7097,10059.513719,8.75463445653,46591.4802415,52.5114478679,5279.64191253,5.85976809414,3292.96303995,2.30787051402
7098,7098,8058.02314,7.68205237061,33913.7576099,43.2215686927,4089.51893923,5.01135604495,2633.25594352,1.84551532288
7099,7099,9978.60783228,8.71329796802,46092.0989525,52.1696157868,5197.14993045,5.80403211236,3262.69532949,2.28665741334
7100,7100,8953.85928378,8.17572041955,39673.6556715,47.6123682273,4554.8909827,5.35520621922,2979.52422699,2.08819717253
