,p,to,q
303,121908.297311,24.4,462634.686791
304,121911.367125,24.4,462833.753302
305,121913.63152,24.4,462874.300165
306,121915.303893,24.4,462928.594771
307,121916.535222,24.4,462967.877354
308,121917.441292,24.4,463000.350653
309,121918.109337,24.4,432869.713287
310,121918.601449,24.4,481359.344536
311,121918.964218,24.4,455335.947885
312,121919.231437,24.4,460900.504661
313,121919.422075,24.4,461050.54388
314,121919.565981,24.4,461078.099662
315,121919.67625,24.4,461109.928794
316,121919.756019,24.4,461136.693877
317,121919.814863,24.4,461160.737949
318,121919.858505,24.4,461182.306757
319,121919.890201,24.4,461196.474525
320,121919.913717,24.4,461204.729494
321,121919.931333,24.4,432591.090509
322,121919.944208,24.4,479673.74242
323,121919.95386,24.4,453440.200115
324,121919.959893,24.4,459030.111266
325,121919.965245,24.4,459156.877723
326,121919.96905,24.4,459164.428366
327,121919.971424,24.4,459182.844582
328,121919.973412,24.4,459195.682933
329,121919.975379,24.4,459206.294617
330,121919.975542,24.4,459255.811067
331,121919.976321,24.4,459304.816436
332,121919.977041,24.4,459351.329468
333,121919.977691,24.4,459397.965869
334,121919.978296,24.4,459445.891334
335,121919.978851,24.4,459495.990089
336,121919.97936,24.4,459547.50353
337,121919.979747,24.4,459599.691677
338,121919.979978,24.4,432586.795314
339,121919.979318,24.4,478068.580771
340,121919.979743,24.4,452024.39226
341,121919.979913,24.4,457627.934863
342,121919.980078,24.4,457815.119413
343,121919.979357,24.4,457901.989926
344,121919.979798,24.4,457998.997856
345,121919.979988,24.4,458321.725423
346,121919.979276,24.4,458727.434748
347,121919.979726,24.4,459139.009616
348,121919.979923,24.4,459571.568715
349,121919.980084,24.4,460048.887514
350,121919.979364,24.4,460539.179117
351,121919.979807,24.4,461030.647591
352,121919.979998,24.4,461387.270437
353,121919.979286,24.4,461839.980919
354,121919.979727,24.4,462325.928373
355,121919.979924,24.4,462813.782112
356,121919.980084,24.4,463301.842357
357,121919.979364,24.4,463809.768296
358,121919.979805,24.4,464310.580808
359,121919.979997,24.4,464814.757477
360,121930.342667,24.42,474905.010154
361,121953.498084,24.44,476567.001805
362,121984.103429,24.46,477163.739171
363,122019.910083,24.48,477725.215223
364,122059.496118,24.5,478299.877413
365,122101.868699,24.52,478941.644214
366,122146.287148,24.54,480538.660405
367,122192.209128,24.56,481869.685705
368,122239.231058,24.58,483542.811866
369,122287.065464,24.6,485121.302219
370,122335.495982,24.62,486716.931437
371,122384.356953,24.64,488315.544672
372,122433.529946,24.66,489915.77998
373,122482.92631,24.68,491584.590185
374,122532.487163,24.7,493302.678198
375,122582.168363,24.72,495028.616846
376,122631.938637,24.74,496756.632133
377,122681.76408,24.76,498487.714077
378,122731.623442,24.78,500221.441344
379,122781.503933,24.8,501967.077177
380,122831.398039,24.82,503718.567505
381,122881.302388,24.84,505474.444873
382,122931.207127,24.86,507224.52492
383,122981.103035,24.88,508985.710465
384,123030.997228,24.9,553500.294089
385,123080.88446,24.92,490806.03476
386,123130.754885,24.94,524107.99057
387,123180.612953,24.96,519058.239461
388,123230.461578,24.98,520709.449855
389,123280.300398,25.0,522484.722915
390,123330.1256,25.02,523278.209856
391,123379.932681,25.04,523879.375495
392,123429.72832,25.06,524468.882183
393,123479.507952,25.08,525000.766802
394,123529.270379,25.1,525514.690794
395,123579.020056,25.12,526007.346012
396,123628.748862,25.14,526475.889682
397,123678.460918,25.16,526887.273603
398,123728.165474,25.18,527267.662039
399,123777.85409,25.2,527631.334838
400,123827.519805,25.22,570881.573355
401,123877.170309,25.24,506583.260646
402,123926.809465,25.26,538477.633406
403,123976.428665,25.28,528983.275509
404,124026.03082,25.3,528568.510041
405,124075.617249,25.32,528747.935452
406,124125.194556,25.34,528883.548488
407,124174.755728,25.36,529016.679069
408,124224.290577,25.38,529142.381919
409,124273.811651,25.4,529206.186202
410,124323.324417,25.42,529241.129171
411,124372.817348,25.44,529264.404728
412,124422.28857,25.46,574172.662627
413,124471.745109,25.48,507558.307726
414,124521.188936,25.5,539146.661697
415,124570.616588,25.52,532258.331919
416,124620.022963,25.54,532072.988061
417,124669.418448,25.56,532000.049885
418,124718.796649,25.58,531912.831433
419,124768.155197,25.6,531824.01037
420,124813.301986,25.6266666667,557517.515938
421,124853.234142,25.6533333333,561632.58436
422,124890.10909,25.68,611567.554379
423,124924.831979,25.7066666667,538864.217135
424,124957.956955,25.7333333333,573929.286499
425,124989.879811,25.76,566230.690061
426,125020.889235,25.7866666667,566478.041858
427,125051.194146,25.8133333333,566660.291282
428,125080.950379,25.84,566817.93443
429,125110.266245,25.8666666667,566979.435046
430,125139.224481,25.8933333333,617139.986964
431,125167.89512,25.92,542981.021423
432,125196.304017,25.9466666667,578822.913985
433,125224.494033,25.9733333333,571045.465317
434,125252.492,26.0,571043.140559
435,125280.295344,26.0266666667,571114.366549
436,125307.926802,26.0533333333,571174.107659
437,125335.408415,26.08,618462.774479
438,125362.726355,26.1066666667,543521.927308
439,125389.899626,26.1333333333,579191.675847
440,125416.928505,26.16,571250.021712
441,125443.803027,26.1866666667,571099.425912
442,125470.536636,26.2133333333,571023.299047
443,125497.131993,26.24,570940.739762
444,125523.582456,26.2666666667,621305.444711
445,125549.888288,26.2933333333,546441.279367
446,125576.059007,26.32,582140.987548
447,125602.089203,26.3466666667,574104.633137
448,125627.972152,26.3733333333,573921.446462
449,125653.721862,26.4,573813.837811
450,125679.330255,26.4266666667,625967.554124
451,125704.792183,26.4533333333,552101.595413
452,125730.12006,26.48,589367.957861
453,125755.296494,26.5066666667,582514.637582
454,125780.326966,26.5333333333,583710.73459
455,125805.229356,26.56,585002.03369
456,125829.981909,26.5866666667,637327.99327
457,125854.588956,26.6133333333,563238.996743
458,125879.062895,26.64,603853.356708
459,125903.383566,26.6666666667,597370.667832
460,125927.557077,26.6933333333,598703.807067
461,125951.5929,26.72,651500.936835
462,125975.47603,26.7466666667,577119.479434
463,125999.214931,26.7733333333,615091.478401
464,126022.814247,26.8,608179.61906
465,126046.260937,26.8266666667,609640.224524
466,126069.569382,26.8533333333,611134.321336
467,126692.292811,26.88,665462.222621
468,126125.510416,26.9066666667,589594.053326
469,126148.908885,26.9333333333,628023.664734
470,126169.312573,26.96,621068.707894
471,126189.789005,26.9866666667,622613.224149
472,127865.044033,27.0133333333,678191.438341
473,126258.58965,27.04,601128.714171
474,126281.336798,27.0666666667,640227.982295
475,126296.319792,27.0933333333,633035.536409
476,126311.928464,27.12,634780.359611
477,129112.712699,27.1466666667,691650.942923
478,126392.005575,27.1733333333,613003.949787
479,126413.335879,27.2,653445.6454
480,154268.552707,27.2466666667,945002.747141
481,166545.27844,27.2933333333,1020376.27836
482,156940.455548,27.34,932940.692817
483,160933.195057,27.3866666667,983196.122293
484,160866.970555,27.4333333333,975317.715856
485,160972.968476,27.48,978640.743626
486,168261.496623,27.5266666667,1044114.82897
487,159246.186886,27.5733333333,954312.36213
488,163312.489092,27.62,1004233.15859
489,163411.157056,27.6666666667,996567.022339
490,170506.155742,27.7133333333,1062176.79784
491,161469.257156,27.76,972245.93318
492,165562.734958,27.8066666667,1022390.50512
493,165672.885841,27.8533333333,1014641.29582
494,172826.963586,27.9,1080374.27545
495,163687.347956,27.9466666667,990153.739019
496,167792.846675,27.9933333333,1040452.41006
497,167933.74954,28.04,1032844.71877
498,175186.895733,28.0866666667,1099002.03597
499,165942.369238,28.1333333333,1008480.66754
500,170049.923449,28.18,1058825.83975
501,170174.694826,28.2266666667,1050953.84486
502,177478.58803,28.2733333333,1117184.78894
503,168123.549704,28.32,1026335.05945
504,172253.150828,28.3666666667,1076902.56488
505,172384.794604,28.4133333333,1068957.15548
506,179764.004212,28.46,1135482.30706
507,170309.743657,28.5066666667,1044367.89898
508,174458.844822,28.5533333333,1095147.16763
509,174596.116902,28.6,1087118.89426
510,181942.67473,28.6466666667,1153019.66698
511,172254.800371,28.6933333333,1060535.48755
512,176285.065216,28.74,1110471.17988
513,176302.767029,28.7866666667,1101407.29225
514,183666.328052,28.8333333333,1167370.07747
515,173906.510122,28.88,1074645.86932
516,177959.190092,28.9266666667,1124870.35745
517,177987.313654,28.9733333333,1115773.40565
518,185393.956943,29.02,1181903.69463
519,175537.062403,29.0666666667,1088718.23765
520,179568.409117,29.1133333333,1138880.86703
521,187134.48205,29.16,1193471.69041
522,176831.252824,29.2066666667,1100281.12406
523,180904.240442,29.2533333333,1150475.98561
524,180902.963617,29.3,1140969.91649
525,188380.073147,29.3466666667,1207397.71699
526,178386.207097,29.3933333333,1113633.11781
527,182848.572919,29.44,1167766.36875
528,190668.940399,29.4866666667,1223023.28739
529,180166.632328,29.5333333333,1129142.31615
530,184258.999163,29.58,1179712.05885
531,184268.335496,29.6266666667,1170054.98683
532,191835.625576,29.6733333333,1236873.93768
533,181669.036893,29.72,1142345.20353
534,185716.894983,29.7666666667,1193120.68008
535,193528.007913,29.8133333333,1248189.58699
536,182895.118627,29.86,1153808.99521
537,187000.346709,29.9066666667,1204705.45973
538,194850.961036,29.9533333333,1259805.28421
539,184133.875203,30.0,1165014.62201
540,188208.733544,30.0183333333,1215735.25582
541,196143.37416,30.0366666667,1271188.30856
542,185345.807217,30.055,1175826.05434
543,189423.461298,30.0733333333,1226620.00227
544,189426.084565,30.0916666667,1216339.73377
545,197120.230076,30.11,1283651.32986
546,186717.546469,30.1283333333,1187780.35461
547,190761.61915,30.1466666667,1238831.39531
548,198752.184095,30.165,1293911.41435
549,187826.494381,30.1833333333,1197996.1358
550,191920.148404,30.2016666667,1249021.90026
551,199950.263023,30.22,1304135.52059
552,188964.88903,30.2383333333,1207934.92245
553,193062.171957,30.2566666667,1259056.824
554,201151.217362,30.275,1314335.65822
555,190121.580449,30.2933333333,1217987.01332
556,194237.838054,30.3116666667,1269323.34486
557,202373.055743,30.33,1324634.74565
558,191263.257278,30.3483333333,1227873.67008
559,195365.941788,30.3666666667,1279191.65432
560,203537.669274,30.385,1334504.69757
561,192362.603864,30.4033333333,1237434.0983
562,196471.376,30.4216666667,1288886.90276
563,204703.420803,30.44,1344379.15321
564,193490.696661,30.4583333333,1247208.08173
565,197620.561946,30.4766666667,1298892.03661
566,205898.021959,30.495,1354417.15164
567,194603.776504,30.5133333333,1256816.603
568,198720.277233,30.5316666667,1308492.94434
569,207036.837822,30.55,1364043.10653
570,195585.632211,30.5683333333,1265356.4054
571,199576.09057,30.5866666667,1316203.32008
572,207805.328214,30.605,1370945.74668
573,196304.901723,30.6233333333,1272049.63709
574,200320.793765,30.6416666667,1323156.0126
575,208590.988699,30.66,1377986.91571
576,197038.150394,30.6783333333,1278748.3126
577,201031.427754,30.6966666667,1329763.6402
578,209314.148886,30.715,1384518.04553
579,197712.830564,30.7333333333,1284964.8824
580,210087.699742,30.7516666667,1403735.73433
581,198890.726224,30.77,1290716.78912
582,202397.799468,30.7883333333,1342490.68578
583,210836.049575,30.8066666667,1397420.70656
584,199147.562096,30.825,1297442.54425
585,203149.742262,30.8433333333,1348732.20675
586,211527.830877,30.8616666667,1403622.33995
587,199799.780188,30.88,1303348.17518
588,203799.873879,30.8983333333,1354706.85439
589,212206.39076,30.9166666667,1409626.14743
590,200441.002889,30.935,1309120.26992
591,212947.325938,30.9533333333,1428863.39237
592,201646.503627,30.9716666667,1314752.85059
593,205136.606624,30.99,1366875.40005
594,213692.472206,31.0083333333,1421880.51852
595,201566.626839,31.0266666667,1318732.99465
596,205492.419312,31.045,1370056.50054
597,213993.91297,31.0633333333,1425172.61014
598,202130.792875,31.0816666667,1324049.51052
599,214713.385384,31.1,1444382.63263
600,203366.5422,31.1283333333,1329538.16573
601,206931.633142,31.1566666667,1382216.99814
602,215662.852483,31.185,1437462.44127
603,203757.484212,31.2133333333,1335886.26225
604,207867.622962,31.2416666667,1387838.01395
605,216562.523428,31.27,1443094.68339
606,204624.64167,31.2983333333,1341273.72729
607,217430.689337,31.3266666667,1462305.52118
608,206000.261906,31.355,1346406.52887
609,209579.452408,31.3833333333,1399168.20919
610,218473.201136,31.4116666667,1454618.01646
611,206438.389825,31.44,1352525.86131
612,210597.894671,31.4683333333,1404831.36029
613,219436.602083,31.4966666667,1460284.76985
614,207339.898498,31.525,1357868.336
615,220298.375811,31.5533333333,1479611.85655
616,208739.481636,31.5816666667,1362913.68389
617,212317.51058,31.61,1415943.05904
618,221332.491815,31.6383333333,1471455.43034
619,209137.122599,31.6666666667,1368830.54246
620,222210.9218,31.695,1491136.55092
621,210576.651632,31.7233333333,1374012.17938
622,214158.818056,31.7516666667,1427267.26102
623,223257.205952,31.78,1482840.86963
624,210922.153473,31.8083333333,1379623.89406
625,224072.352026,31.8366666667,1502276.71376
626,212331.793733,31.865,1384483.48214
627,215919.678725,31.8933333333,1438019.67142
628,225120.504564,31.9216666667,1493801.0925
629,212648.927693,31.95,1389971.6526
630,225958.445703,31.9783333333,1513647.42793
631,214220.722811,32.0066666667,1395912.7785
632,217879.009493,32.035,1450141.22346
633,227272.486972,32.0633333333,1506709.40182
634,214768.165135,32.0916666667,1403105.73254
635,228191.723555,32.12,1527215.25277
636,216342.331382,32.1483333333,1408880.97217
637,220015.204835,32.1766666667,1463473.55261
638,229497.161716,32.205,1520015.95358
639,216872.910191,32.2333333333,1416109.42358
640,230417.709153,32.2616666667,1540788.41275
641,218460.430775,32.29,1421812.71104
642,222116.692913,32.3183333333,1476545.8592
643,231679.094759,32.3466666667,1533052.42827
644,218912.565808,32.375,1428641.38533
645,232568.763027,32.4033333333,1553883.83416
646,220535.273969,32.4316666667,1434479.70215
647,233579.650527,32.46,1560907.24184
648,221602.160517,32.4883333333,1441004.8925
649,225245.825221,32.5166666667,1496169.23229
650,234963.779231,32.545,1552841.33338
651,221997.395291,32.5733333333,1447768.30274
652,235806.904418,32.6016666667,1573740.41758
653,223604.592643,32.63,1453300.52895
654,227269.4202,32.6583333333,1508791.22016
655,237109.91152,32.6866666667,1565737.25203
656,224047.562484,32.715,1460438.15584
657,237987.99839,32.7433333333,1587088.12191
658,225701.500201,32.7716666667,1466117.06218
659,238949.699244,32.8,1593830.39445
660,226677.170252,32.8083333333,1472118.14842
661,230432.692907,32.8166666667,1529335.4333
662,240335.361649,32.825,1585965.81501
663,226933.554814,32.8333333333,1479646.58053
664,240899.268778,32.8416666667,1606902.03496
665,228383.355463,32.85,1484941.24563
666,241621.781015,32.8583333333,1613379.96411
667,229170.210975,32.8666666667,1490762.46753
668,232661.661314,32.875,1546815.18197
669,242618.320508,32.8833333333,1603684.15629
670,229066.990403,32.8916666667,1496683.11066
671,243104.537556,32.9,1624604.01924
672,230485.199901,32.9083333333,1501757.97265
673,234014.918332,32.9166666667,1558304.87125
674,244064.596189,32.925,1615432.56105
675,230438.88257,32.9333333333,1508088.98459
676,244517.149894,32.9416666667,1636363.60975
677,231857.148354,32.95,1513075.51615
678,245034.207589,32.9583333333,1641570.82745
679,232724.70963,32.9666666667,1519834.83438
680,236010.542514,32.975,1574766.07594
681,246222.612224,32.9833333333,1632990.59026
682,232499.149749,32.9916666667,1524966.48391
683,246318.490011,33.0,1651461.06076
684,234357.854583,33.0083333333,1533690.5318
685,246921.604912,33.0166666667,1656409.61515
686,234917.791853,33.025,1538445.71397
687,248094.209118,33.0333333333,1660345.75231
688,235567.505419,33.0416666667,1545506.88593
689,238701.45232,33.05,1596587.34237
690,251057.766231,33.0583333333,1649499.45535
691,234461.064748,33.0666666667,1549644.22762
692,252024.698111,33.075,1665656.64827
693,235683.474605,33.0833333333,1557503.54528
694,252444.533595,33.0916666667,1671176.31481
695,236398.91572,33.1,1563690.8752
696,240687.49499,33.1083333333,1615069.85423
697,255532.404617,33.1166666667,1660333.00757
698,235227.60818,33.125,1568113.8761
699,256882.832621,33.1333333333,1675899.44386
700,236161.864517,33.1416666667,1576052.36863
701,257303.542581,33.15,1681298.60159
702,237372.86023,33.1583333333,1580216.71059
703,243095.899382,33.1666666667,1629259.42254
704,260755.530368,33.175,1668855.51189
705,235075.117855,33.1833333333,1587026.97791
