,tout,i,t
0,24.975,521.0339615,23.70340965
1,24.95,521.0339615,23.20110448
2,24.925,521.0339615,23.0116644
3,24.9,521.0339615,23.00992918
4,24.875,521.0339615,23.01965954
5,24.85,521.0339615,23.01991112
6,24.825,521.0339615,23.02970653
7,24.8,521.0339615,23.02991414
8,24.775,521.0339615,23.02991483
9,24.75,521.0339615,23.03972485
10,24.725,521.0339615,23.03991995
11,24.7,521.0339615,23.04973284
12,24.675,521.0339615,23.04992627
13,24.65,521.0339615,23.05974004
14,24.625,521.0339615,23.05993066
15,24.6,521.0339615,23.06974661
16,24.575,521.0339615,23.06993463
17,24.55,521.0339615,23.06993471
18,24.525,521.0339615,23.07975482
19,24.5,521.0339615,23.07993847
20,24.475,521.0339615,23.08976051
21,24.45,521.0339615,23.08994286
22,24.425,521.0339615,23.09976577
23,24.4,521.0339615,23.09994585
24,24.375,521.0339615,23.09994541
25,24.35,521.0339615,23.10977237
26,24.325,521.0339615,23.10994859
27,24.3,521.0339615,23.11977718
28,24.275,521.0339615,23.11995223
29,24.25,521.0339615,23.12978167
30,24.225,521.0339615,23.12995466
31,24.2,521.0339615,23.12995389
32,24.175,521.0339615,23.1397871
33,24.15,521.0339615,23.13995672
34,24.125,521.0339615,23.14979142
35,24.1,521.0339615,23.14997795
36,24.075,521.0339615,23.15979532
37,24.05,521.0339615,23.15997763
38,24.025,521.0339615,23.15996029
39,24,521.0339615,23.16981376
40,23.975,521.0339615,23.16997763
41,23.95,521.0339615,23.17981904
42,23.925,521.0339615,23.17997727
43,23.9,521.0339615,23.18982061
44,23.875,521.0339615,23.18997702
45,23.85,521.0339615,23.18998084
46,23.825,521.0339615,23.19981937
47,23.8,521.0339615,23.19997701
48,23.775,521.0339615,23.20982464
49,23.75,521.0339615,23.20997737
50,23.725,521.0339615,23.21982674
51,23.7,521.0339615,23.2199778
52,23.675,521.0339615,23.21998169
53,23.65,521.0339615,23.22982615
54,23.625,521.0339615,23.2299785
55,23.6,521.0339615,23.23983158
56,23.575,521.0339615,23.23997919
57,23.55,521.0339615,23.24983384
58,23.525,521.0339615,23.24997987
59,23.5,521.0339615,23.24998361
60,23.50166667,521.0339615,23.25983342
61,23.50333333,521.0339615,23.25998081
62,23.505,521.0339615,23.26983868
63,23.50666667,521.0339615,23.26998151
64,23.50833333,521.0339615,23.27984075
65,23.51,521.0339615,23.27998206
66,23.51166667,521.0339615,23.27998547
67,23.51333333,521.0339615,23.28983998
68,23.515,521.0339615,23.28998265
69,23.51666667,521.0339615,23.29984486
70,23.51833333,521.0339615,23.29998308
71,23.52,521.0339615,23.29998628
72,23.52166667,521.0339615,23.30984387
73,23.52333333,521.0339615,23.30998342
74,23.525,521.0339615,23.31984853
75,23.52666667,521.0339615,23.3199837
76,23.52833333,521.0339615,23.32985014
77,23.53,521.0339615,23.32998387
78,23.53166667,521.0339615,23.32998683
79,23.53333333,521.0339615,23.33984888
80,23.535,521.0339615,23.33998394
81,23.53666667,521.0339615,23.34985328
82,23.53833333,521.0339615,23.34998404
83,23.54,521.0339615,23.34998687
84,23.54166667,521.0339615,23.35985186
85,23.54333333,521.0339615,23.35998395
86,23.545,521.0339615,23.36985612
87,23.54666667,521.0339615,23.36998396
88,23.54833333,521.0339615,23.36998668
89,23.55,521.0339615,23.37985456
90,23.55166667,521.0339615,23.37998373
91,23.55333333,521.0339615,23.38985871
92,23.555,521.0339615,23.38998365
93,23.55666667,521.0339615,23.3899863
94,23.55833333,521.0339615,23.39985701
95,23.56,521.0339615,23.39998331
96,23.56166667,521.0339615,23.40986104
97,23.56333333,521.0339615,23.40998316
98,23.565,521.0339615,23.40998575
99,23.56666667,521.0339615,23.41985925
100,23.56833333,521.0339615,23.41998273
101,23.57,521.0339615,23.42986319
102,23.57166667,521.0339615,23.42998252
103,23.57333333,521.0339615,23.42998507
104,23.575,521.0339615,23.43986129
105,23.57666667,521.0339615,23.43998201
106,23.57833333,521.0339615,23.44986516
107,23.58,521.0339615,23.44998175
108,23.58166667,521.0339615,23.44998427
109,23.58333333,521.0339615,23.45986318
110,23.585,521.0339615,23.45998117
111,23.58666667,521.0339615,23.469867
112,23.58833333,521.0339615,23.46998087
113,23.59,521.0339615,23.46998338
114,23.59166667,521.0339615,23.47986494
115,23.59333333,521.0339615,23.47998023
116,23.595,521.0339615,23.47998278
117,23.59666667,521.0339615,23.48986572
118,23.59833333,521.0339615,23.48997959
119,23.6,521.0339615,23.49986946
120,23.60333333,521.0339615,23.49997924
121,23.60666667,521.0339615,23.49998177
122,23.61,521.0339615,23.50986718
123,23.61333333,521.0339615,23.50997853
124,23.61666667,521.0339615,23.50998114
125,23.62,521.0339615,23.51986776
126,23.62333333,521.0339615,23.5199779
127,23.62666667,521.0339615,23.52987139
128,23.63,521.0339615,23.5299776
129,23.63333333,521.0339615,23.52998021
130,23.63666667,521.0339615,23.53986916
131,23.64,521.0339615,23.53997698
132,23.64333333,521.0339615,23.53997967
133,23.64666667,521.0339615,23.54986978
134,23.65,521.0339615,23.54997644
135,23.65333333,521.0339615,23.5598734
136,23.65666667,521.0339615,23.55997618
137,23.66,521.0339615,23.55997887
138,23.66333333,521.0339615,23.56987122
139,23.66666667,521.0339615,23.56997563
140,23.67,521.0339615,23.56997217
141,23.67333333,521.0339615,23.57987187
142,23.67666667,521.0339615,23.57997527
143,23.68,521.0339615,23.57997113
144,23.68333333,521.0339615,23.58987263
145,23.68666667,521.0339615,23.58997493
146,23.69,521.0339615,23.5899701
147,23.69333333,521.0339615,23.59987337
148,23.69666667,521.0339615,23.59997459
149,23.7,521.0339615,23.60987062
150,23.70333333,521.0339615,23.60997436
151,23.70666667,521.0339615,23.60996857
152,23.71,521.0339615,23.61986931
153,23.71333333,521.0339615,23.61996735
154,23.71666667,521.0339615,23.61996773
155,23.72,521.0339615,23.62986964
156,23.72333333,521.0339615,23.62996657
157,23.72666667,521.0339615,23.62996704
158,23.73,521.0339615,23.63986999
159,23.73333333,521.0339615,23.63996581
160,23.73666667,521.0339615,23.63996636
161,23.74,521.0339615,23.64987036
162,23.74333333,521.0339615,23.64996507
163,23.74666667,521.0339615,23.6499657
164,23.75,521.0339615,23.65987073
165,23.75333333,521.0339615,23.65996434
166,23.75666667,521.0339615,23.65996506
167,23.76,521.0339615,23.66987111
168,23.76333333,521.0339615,23.66996363
169,23.76666667,521.0339615,23.66996443
170,23.77,521.0339615,23.6798715
171,23.77333333,521.0339615,23.67996293
172,23.77666667,521.0339615,23.67996381
173,23.78,521.0339615,23.67996443
174,23.78333333,521.0339615,23.68987126
175,23.78666667,521.0339615,23.68996189
176,23.79,521.0339615,23.68996288
177,23.79333333,521.0339615,23.69987198
178,23.79666667,521.0339615,23.69996123
179,23.8,521.0339615,23.6999623
180,23.80166667,521.0339615,23.71003999
181,23.80333333,521.0339615,23.70996246
182,23.805,521.0339615,23.70996191
183,23.80666667,521.0339615,23.71981086
184,23.80833333,521.0339615,23.71995944
185,23.81,521.0339615,23.71996138
186,23.81166667,521.0339615,23.72980419
187,23.81333333,521.0339615,23.72995887
188,23.815,521.0339615,23.72996098
189,23.81666667,521.0339615,23.72996152
190,23.81833333,521.0339615,23.74003312
191,23.82,521.0339615,23.7399605
192,23.82166667,521.0339615,23.73996044
193,23.82333333,521.0339615,23.74980888
194,23.825,521.0339615,23.74995772
195,23.82666667,521.0339615,23.74996002
196,23.82833333,521.0339615,23.74996051
197,23.83,521.0339615,23.75996382
198,23.83166667,521.0339615,23.75995862
199,23.83333333,521.0339615,23.75995952
200,23.835,521.0339615,23.77000399
201,23.83666667,521.0339615,23.76995864
202,23.83833333,521.0339615,23.76995927
203,23.84,521.0339615,23.76995961
204,23.84166667,521.0339615,23.77986027
205,23.84333333,521.0339615,23.77995657
206,23.845,521.0339615,23.77995871
207,23.84666667,521.0339615,23.7898649
208,23.84833333,521.0339615,23.78995629
209,23.85,521.0339615,23.78988823
210,23.85166667,521.0339615,23.78995821
211,23.85333333,521.0339615,23.80005362
212,23.855,521.0339615,23.79995757
213,23.85666667,521.0339615,23.80012993
214,23.85833333,521.0339615,23.79995988
215,23.86,521.0339615,23.8100565
216,23.86166667,521.0339615,23.80995704
217,23.86333333,521.0339615,23.81013532
218,23.865,521.0339615,23.80995947
219,23.86666667,521.0339615,23.81995532
220,23.86833333,521.0339615,23.81995562
221,23.87,521.0339615,23.82011767
222,23.87166667,521.0339615,23.81989571
223,23.87333333,521.0339615,23.8299492
224,23.875,521.0339615,23.8299551
225,23.87666667,521.0339615,23.83006924
226,23.87833333,521.0339615,23.83014704
227,23.88,521.0339615,23.83997249
228,23.88166667,521.0339615,23.83995503
229,23.88333333,521.0339615,23.84004509
230,23.885,521.0339615,23.84009716
231,23.88666667,521.0339615,23.85006111
232,23.88833333,521.0339615,23.84995545
233,23.89,521.0339615,23.85020182
234,23.89166667,521.0339615,23.8500211
235,23.89333333,521.0339615,23.85004241
236,23.895,521.0339615,23.85988205
237,23.89666667,521.0339615,23.85995328
238,23.89833333,521.0339615,23.85994042
239,23.9,521.0339615,23.86010667
240,23.90833333,521.0339615,23.86989499
241,23.91666667,521.0339615,23.86995308
242,23.925,521.0339615,23.86997994
243,23.93333333,521.0339615,23.86996988
244,23.94166667,521.0339615,23.87017731
245,23.95,521.0339615,23.88001447
246,23.95833333,521.0339615,23.8799289
247,23.96666667,521.0339615,23.87995522
248,23.975,521.0339615,23.88008089
249,23.98333333,521.0339615,23.87989961
250,23.99166667,521.0339615,23.89007157
251,24,521.0339615,23.8901772
252,24.00833333,521.0339615,23.89006094
253,24.01666667,521.0339615,23.89017832
254,24.025,521.0339615,23.89012875
255,24.03333333,521.0339615,23.89988977
256,24.04166667,521.0339615,23.89996607
257,24.05,521.0339615,23.90001808
258,24.05833333,521.0339615,23.90007601
259,24.06666667,521.0339615,23.90008818
260,24.075,521.0339615,23.9099489
261,24.08333333,521.0339615,23.90996004
262,24.09166667,521.0339615,23.91005577
263,24.1,521.0339615,23.90998283
264,24.10833333,521.0339615,23.91003277
265,24.11666667,521.0339615,23.9199937
266,24.125,521.0339615,23.91994076
267,24.13333333,521.0339615,23.92008144
268,24.14166667,521.0339615,23.92015881
269,24.15,521.0339615,23.92011327
270,24.15833333,521.0339615,23.92002401
271,24.16666667,521.0339615,23.92996602
272,24.175,521.0339615,23.93012267
273,24.18333333,521.0339615,23.92994637
274,24.19166667,521.0339615,23.92993939
275,24.2,521.0339615,23.93004309
276,24.20833333,521.0339615,23.93018976
277,24.21666667,521.0339615,23.93007039
278,24.225,521.0339615,23.94004614
279,24.23333333,521.0339615,23.94012295
280,24.24166667,521.0339615,23.94002358
281,24.25,521.0339615,23.93993562
282,24.25833333,521.0339615,23.94011942
283,24.26666667,521.0339615,23.9401894
284,24.275,521.0339615,23.94984315
285,24.28333333,521.0339615,23.95016698
286,24.29166667,521.0339615,23.95011412
287,24.3,521.0339615,23.95013223
288,24.30833333,521.0339615,23.94994047
289,24.31666667,521.0339615,23.95018711
290,24.325,521.0339615,23.95018088
291,24.33333333,521.0339615,23.94996711
292,24.34166667,521.0339615,23.9598803
293,24.35,521.0339615,23.96001971
294,24.35833333,521.0339615,23.95996793
295,24.36666667,521.0339615,23.96018811
