,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,hsp0,m,rh,tdis,twater,mwa
0,24.975,0.0,335.774098251,3510.5189503,-20216.9039729,-8926.97799572,23.1890615416,23.462468277,23.6338840763,23.7643968376,24.7188571227,23.0,2.12606273827,0.0,13.9080448333,82.2222222222,0.0
1,24.95,0.0,335.774098251,4112.06965055,2186.6072769,-2027.34716544,23.0049615782,23.0127565269,23.0354593573,23.3622207967,24.6371235805,23.0,0.462434924565,6820.4347309,27.6215182699,82.2222222222,0.0478177282148
2,24.925,0.0,335.774098251,4062.24395566,-4976.34672113,52.2407823955,23.0097058019,23.0104634631,23.0105898178,23.0215101251,24.5396722645,23.01,0.632646281468,0.0,15.3287696255,82.2222222222,0.0
3,24.9,0.0,335.774098251,4033.7639167,-5163.74587497,2.15070437115,23.0099011249,23.009853477,23.0098436441,23.0100131843,24.4686776375,23.01,0.642732232672,0.0,15.1644500986,82.2222222222,0.0
4,24.875,0.0,335.774098251,4005.99041419,-4189.19397385,107.958807789,23.0197063795,23.0196743629,23.0196796267,23.0197502536,24.3975508568,23.02,0.571063447024,0.0,15.8562103201,82.2222222222,0.0
5,24.85,0.0,335.774098251,3993.10763955,-4508.80359685,2.44151864402,23.0199281352,23.0198904935,23.019889772,23.0199759771,24.3420172816,23.02,0.580325829646,0.0,15.4330631416,82.2222222222,0.0
6,24.825,0.0,335.774098251,3965.64600719,-4128.46004494,107.727104556,23.029713291,23.0296877313,23.0297000312,23.0298248714,24.3072380141,23.03,0.535126073765,0.0,15.4961704155,82.2222222222,0.0
7,24.8,0.0,335.774098251,3946.19287314,-4458.57001689,2.63622469282,23.0299527544,23.029919448,23.0299175205,23.0299972583,24.2781923363,23.03,0.59145689601,0.0,15.6689890667,82.2222222222,0.0
8,24.775,0.0,335.774098251,3928.86501524,-4287.31220476,-0.0224556997535,23.0299507146,23.0299204503,23.0299186225,23.0299941968,24.2554525419,23.03,0.557962602541,0.0,15.5268896039,82.2222222222,0.0
9,24.75,0.0,335.774098251,3893.75013692,-4085.52095361,107.507377727,23.0397171761,23.0396970635,23.0397089728,23.0398284773,24.240349795,23.04,0.531635991502,0.0,15.5358061569,82.2222222222,0.0
